"","week","month","item_no","diff","type","total_sold"
"177",40,10,"04002032",-36.7626443042079,"Actual",0
"178",40,10,"04002032",-36.7626443042079,"Predicted",36.7626443042079
"179",41,10,"04002032",-36.7626443042079,"Actual",0
"180",41,10,"04002032",-36.7626443042079,"Predicted",36.7626443042079
"181",42,10,"04002032",-36.7626443042079,"Actual",0
"182",42,10,"04002032",-36.7626443042079,"Predicted",36.7626443042079
"183",43,10,"04002032",-36.7626443042079,"Actual",0
"184",43,10,"04002032",-36.7626443042079,"Predicted",36.7626443042079
"185",44,10,"04002032",-36.7626443042079,"Actual",0
"186",44,10,"04002032",-36.7626443042079,"Predicted",36.7626443042079
"187",45,11,"04002032",-36.3600953680884,"Actual",0
"188",45,11,"04002032",-36.3600953680884,"Predicted",36.3600953680884
"189",46,11,"04002032",-36.3600953680884,"Actual",0
"190",46,11,"04002032",-36.3600953680884,"Predicted",36.3600953680884
"191",47,11,"04002032",-36.3600953680884,"Actual",0
"192",47,11,"04002032",-36.3600953680884,"Predicted",36.3600953680884
"193",48,11,"04002032",-36.3600953680884,"Actual",0
"194",48,11,"04002032",-36.3600953680884,"Predicted",36.3600953680884
"195",49,12,"04002032",-35.9619543207112,"Actual",0
"196",49,12,"04002032",-35.9619543207112,"Predicted",35.9619543207112
"197",50,12,"04002032",-35.9619543207112,"Actual",0
"198",50,12,"04002032",-35.9619543207112,"Predicted",35.9619543207112
"199",51,12,"04002032",176.778952440369,"Actual",218
"200",51,12,"04002032",176.778952440369,"Predicted",41.2210475596307
"201",52,12,"04002032",-40.22498166619,"Actual",0
"202",52,12,"04002032",-40.22498166619,"Predicted",40.22498166619
"203",1,1,"04002032",-45.2587654786735,"Actual",0
"204",1,1,"04002032",-45.2587654786735,"Predicted",45.2587654786735
"205",3,1,"10055.011212",-30.463873562124,"Actual",12
"206",3,1,"10055.011212",-30.463873562124,"Predicted",42.463873562124
"207",4,1,"10055.011212",-40.8432622316297,"Actual",0
"208",4,1,"10055.011212",-40.8432622316297,"Predicted",40.8432622316297
"209",5,1,"10055.011212",-40.8360559118292,"Actual",0
"210",5,1,"10055.011212",-40.8360559118292,"Predicted",40.8360559118292
"211",6,2,"10055.011212",-40.4504591652566,"Actual",0
"212",6,2,"10055.011212",-40.4504591652566,"Predicted",40.4504591652566
"213",7,2,"10055.011212",-40.1476908280848,"Actual",0
"214",7,2,"10055.011212",-40.1476908280848,"Predicted",40.1476908280848
"215",8,2,"10055.011212",-28.4504591652566,"Actual",12
"216",8,2,"10055.011212",-28.4504591652566,"Predicted",40.4504591652566
"217",9,2,"10055.011212",14.1625227138423,"Actual",56
"218",9,2,"10055.011212",14.1625227138423,"Predicted",41.8374772861577
"219",10,3,"10055.011212",-41.1129121653327,"Actual",0
"220",10,3,"10055.011212",-41.1129121653327,"Predicted",41.1129121653327
"221",11,3,"10055.011212",-41.1416792899477,"Actual",0
"222",11,3,"10055.011212",-41.1416792899477,"Predicted",41.1416792899477
"223",12,3,"10055.011212",-2.16789485758228,"Actual",40
"224",12,3,"10055.011212",-2.16789485758228,"Predicted",42.1678948575823
"225",13,3,"10055.011212",-40.5327359468467,"Actual",0
"226",13,3,"10055.011212",-40.5327359468467,"Predicted",40.5327359468467
"227",14,4,"10055.011212",-40.0653321599745,"Actual",0
"228",14,4,"10055.011212",-40.0653321599745,"Predicted",40.0653321599745
"229",15,4,"10055.011212",-40.2692365728612,"Actual",0
"230",15,4,"10055.011212",-40.2692365728612,"Predicted",40.2692365728612
