"",".pred","item_no","week","sold","year_total","best_seller","year","calendar_week","calendar_year","date","wk_ending_year","month","lag1","lag2","rolling_4wk_avg"
"136",29.4200084036482,"C10PD912912",9,0,1750,0,2022,9,2022,2022-02-27,2022,2,250,0,62.5
"137",28.6229364867831,"CMBF1-30NN",9,0,960,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"138",28.6229364867831,"CMBF75-40NN",9,0,800,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"139",28.6229364867831,"CMPD2020",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"140",38.7758854060259,"CP14020RD03.562",9,0,1500,0,2022,9,2022,2022-02-27,2022,2,0,0,125
"141",28.6229364867831,"CP14020RD04.562",9,0,1000,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"142",28.6229364867831,"CP200-4.75",9,0,3000,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"143",28.6229364867831,"CP20016RD04.750",9,0,1000,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"144",28.6229364867831,"CP20016RD04.812",9,0,1000,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"145",28.6229364867831,"CP24014RD01.250",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"146",28.6229364867831,"CP6-A-8-26-D",9,0,928,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"147",28.6229364867831,"CP8-A-6-29",9,0,636,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"148",28.7708427695385,"CP8-A-8-22",9,0,551,0,2022,9,2022,2022-02-27,2022,2,0,1,2.25
"149",29.2331325624291,"CP9-A-12-15",9,0,1440,0,2022,9,2022,2022-02-27,2022,2,192,0,48
"150",28.6229364867831,"CSC-1014C-96010",9,0,3780,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"151",29.8870750410677,"DP13-9589582",9,0,852,0,2022,9,2022,2022-02-27,2022,2,0,72,27
"152",28.6229364867831,"DP13-STD-12244",9,0,827,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"153",28.8274518260612,"DP13-STD-16202",9,0,742,0,2022,9,2022,2022-02-27,2022,2,0,24,6
"154",28.6355180605614,"DP13-STD-16252",9,0,1068,0,2022,9,2022,2022-02-27,2022,2,4,0,1
"155",30.4344121536466,"DP13-STD-20202",9,96,1654,0,2022,9,2022,2022-02-27,2022,2,28,0,31
"156",28.6229364867831,"DP13-STD-20242",9,0,520,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"157",29.5992104995894,"DP13-STD-20252",9,48,1007,0,2022,9,2022,2022-02-27,2022,2,40,0,22
"158",30.8889128307691,"DP13-STD-24242",9,89,1483,0,2022,9,2022,2022-02-27,2022,2,72,48,52.25
"159",28.6229364867831,"DP40-14281",9,0,720,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"160",28.6229364867831,"DP40-STD-12122",9,0,766,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"161",31.0651153695479,"DP40-STD-12242",9,0,2726,0,2022,9,2022,2022-02-27,2022,2,0,276,69
"162",28.6229364867831,"DP40-STD-12244",9,0,604,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"163",28.6229364867831,"DP40-STD-15202",9,0,732,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"164",30.0855990981441,"DP40-STD-16162",9,0,819,0,2022,9,2022,2022-02-27,2022,2,0,168,42
"165",31.3027041862721,"DP40-STD-16202",9,36,3988,0,2022,9,2022,2022-02-27,2022,2,0,228,66
"166",122.406551628171,"DP40-STD-16252",9,0,6749,1,2022,9,2022,2022-02-27,2022,2,0,0,0
"167",140.387934947121,"DP40-STD-20202",9,132,7810,1,2022,9,2022,2022-02-27,2022,2,32,180,86
"168",29.6849205739976,"DP40-STD-20242",9,60,1546,0,2022,9,2022,2022-02-27,2022,2,0,0,15
"169",28.6229364867831,"DP40-STD-20244",9,0,899,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"170",137.541614329029,"DP40-STD-20252",9,36,9122,1,2022,9,2022,2022-02-27,2022,2,0,0,48
"171",164.559802255221,"DP40-STD-24242",9,246,11849,1,2022,9,2022,2022-02-27,2022,2,242,36,176
"172",131.168564395974,"DP40-STD-24244",9,30,8904,1,2022,9,2022,2022-02-27,2022,2,0,12,30
"173",28.7742809131944,"DPHT-STD-24242",9,0,607,0,2022,9,2022,2022-02-27,2022,2,48,0,12
"174",28.6229364867831,"DW-1-06-20-3-D-N",9,0,1335,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"175",28.6229364867831,"DW-1-15-30-1-D",9,0,1335,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"176",28.6229364867831,"DW-10-01-20-1-D",9,0,600,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"177",30.7863069846605,"DW-10-05-30-4-D",9,60,840,0,2022,9,2022,2022-02-27,2022,2,0,0,30
"178",28.6229364867831,"DW-100-03-30-1-D",9,0,525,0,2022,9,2022,2022-02-27,2022,2,0,0,0
